Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Chile,5101.368479,4595.666327,4463.545867,4787.699532,6210.828325,7615.30468,9484.681227,10526.87746,10781.36608,10243.32824,12860.17764,14705.69242,15431.90293,15941.39722,14794.31583,13736.63569
China,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2695.365917,3471.248054,3838.433972,4560.512586,5633.795717,6337.883323,7077.770765,7683.502613,8069.213024
Germany,23718.7467,23687.31689,25205.16445,30359.95215,34165.93403,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41785.55691,46810.32796,44065.24891,46530.91143,48042.56343,41323.9215
Mexico,6959.388717,7341.882478,7398.80102,6903.949188,7310.961631,8089.409036,8859.715354,9412.827939,9765.716806,7792.247828,9016.457812,9912.582043,9940.468822,10400.56311,10580.97247,9290.760629
United States,36449.85512,37273.6181,38166.03784,39677.19835,41921.80976,44307.92058,46437.06712,48061.53766,48401.42734,47001.55535,48375.40695,49793.71352,51450.95911,52782.08651,54696.72617,56443.81724
Zimbabwe,547.3588785,548.0587312,507.3480034,453.3511552,454.3606654,444.7605075,414.796232,396.9982166,325.6785703,624.2722419,719.9795163,840.9498765,968.1638747,1026.388292,1031.104614,1033.415841
